Position,"Track Name",Artist,URL
1,"City Boy",Calpurnia,https://open.spotify.com/track/7gZ31tLr8IUW2rAO44outL
2,Zombie,"Bad Wolves",https://open.spotify.com/track/1vNoA9F5ASnlBISFekDmg3
3,"Grandpa's Space Ship",Logic,https://open.spotify.com/track/3atCD3dVosUsd3KM2yzfeC
4,"My Life",ZHU,https://open.spotify.com/track/2NDZ6i6UfOUSKgFiTQKbnv
5,X,"Nicky Jam",https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
6,1950,"King Princess",https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
7,"The Few Things","JP Saxe",https://open.spotify.com/track/4T5tKuQBjol779cYZyL9D2
8,"Get The Fuck Off My Dick","Vince Staples",https://open.spotify.com/track/2jdAqci2mLt0Njv8euSZWS
9,SAD!,XXXTENTACION,https://open.spotify.com/track/35ieKju5aLWFN5UgfJ27mL
10,Sanctify,"Years & Years",https://open.spotify.com/track/7gbpozqwdFoqvv19BTk2hu
11,Black,Buddy,https://open.spotify.com/track/5We8lGFNpA1IkHAfIJU9XM
12,"Indica Badu",Logic,https://open.spotify.com/track/0jqBo5RYn008f4ZY8kPewW
13,"Tell Me You Love Me - Spanish Version","Demi Lovato",https://open.spotify.com/track/2scOpCkXHdjx5Pba0T1S68
14,Dive,"Beach House",https://open.spotify.com/track/4jJAUo8B3NTukG5FBcfQ10
15,"Me Niego",Reik,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
16,Everyday,Logic,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
17,"Immer wieder (feat. MoTrip)",Rooz,https://open.spotify.com/track/01q4ydDZhk4xdVb0M7uvgu
18,Azul,Zoé,https://open.spotify.com/track/1HM9uVbB4DVQh0QlwY7W6v
19,"Brxnks Truck (feat. Rae Sremmurd)","Slim Jxmmi",https://open.spotify.com/track/263le58t0LrdRlCZDcGQXd
20,Mine,Bazzi,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
21,"I Believe You",FLETCHER,https://open.spotify.com/track/4GUXTRTjQ4voLzwLw9qbPx
22,66,"Lil Yachty",https://open.spotify.com/track/6tarvNiKnEjYMj1VZhlDqR
23,"Psycho (feat. Ty Dolla $ign)","Post Malone",https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
24,"EVERY SINGLE DAY","FELIX SANDMAN",https://open.spotify.com/track/5Ly489ABFjUgUQDXd1W2c5
25,"Dance You Off","Benjamin Ingrosso",https://open.spotify.com/track/0s3P5PImfDZYWIseR3b39D
26,DEVIL,Shinedown,https://open.spotify.com/track/3IqHzcXy7IsYYND6lKwPAi
27,"El Préstamo",Maluma,https://open.spotify.com/track/0QS5rZpm5zN9wV9lJgjyUE
28,"Young & Free","Dermot Kennedy",https://open.spotify.com/track/2W8h7VAupqA1dNCcXxQM1p
29,"Hurt To Look (feat. Rae Sremmurd)","Swae Lee",https://open.spotify.com/track/07VJGBnywGutMZ72kRyEop
30,"Shake Something (feat. Joey Purp)","Louis The Child",https://open.spotify.com/track/6mUwMth1MQT8NVSMI7lKjx
31,"Look Alive (feat. Drake)","BlocBoy JB",https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
32,"Ride Or Die (feat. Foster The People)","The Knocks",https://open.spotify.com/track/3uJsg8xIH7OpWHxuJaMLJX
33,FRIENDS,Marshmello,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
34,Mundo,"IV Of Spades",https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
35,Amorfoda,"Bad Bunny",https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
36,"Powerglide (feat. Juicy J)","Rae Sremmurd",https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
37,"Your Side Of The Bed",Loote,https://open.spotify.com/track/4foROzWuWa3fED6jc6BjK1
38,Wassup,Logic,https://open.spotify.com/track/5KVciTEfXvpcFHR3RFbtJy
39,"Love Lies (with Normani)",Khalid,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
40,Fuldans,Rolandz,https://open.spotify.com/track/3awvm252RhYY8UJtM9svjY
41,Dura,"Daddy Yankee",https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
42,"Stranger Things","Joyner Lucas",https://open.spotify.com/track/34I0nBvoE0ZXmqbKiJ5BWS
43,"Pink Lemonade","James Bay",https://open.spotify.com/track/6LzsmlN5UbCYytaaKZueRH
44,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
45,Fly,Marshmello,https://open.spotify.com/track/2HO0uCyq8jOveEzvmo4JEu
46,No,"Alison Wonderland",https://open.spotify.com/track/0xRfR3dcMGPWesfjheJzeg
47,"Lo siento",Beret,https://open.spotify.com/track/7HNJNqsBZ7qc6UmYEq8bie
48,"Flower of the Universe (From Disney's ""A Wrinkle in Time"")",Sade,https://open.spotify.com/track/3F6dDV4voQ5OTTYpzpIVYt
49,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
50,"God's Plan",Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
