Position,"Track Name",Artist,URL
1,"Forever Always","Peter CottonTale",https://open.spotify.com/track/4B2kIC5F0kSVfTD5crzgm9
2,APESHIT,"The Carters",https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
3,"American Pharaoh","Jase Harley",https://open.spotify.com/track/4lnSJ70ANG21hCXq62lcM2
4,"Magic In The Hamptons (feat. Lil Yachty)","Social House",https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
5,WTP,"Teyana Taylor",https://open.spotify.com/track/3RykIiejIO6BEhxSSrXRhH
6,"Ocean (feat. Khalid)","Martin Garrix",https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
7,"Gonna Love Me","Teyana Taylor",https://open.spotify.com/track/3nXrCAE44KlevAkQB2XWcN
8,"I'm Upset",Drake,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
9,Hurry,"Teyana Taylor",https://open.spotify.com/track/6NqbN00vLmWfrQSx2wjD4z
10,"Girls Like You (feat. Cardi B)","Maroon 5",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
11,SUMMER,"The Carters",https://open.spotify.com/track/7zmleW3XZx0uUsL2CkFuDe
12,Boys,Lizzo,https://open.spotify.com/track/0j77ikAaghcss4idQVcAXT
13,"Rose In Harlem","Teyana Taylor",https://open.spotify.com/track/38HcgcQC4suvti0Sa0e5yc
14,"Born To Be Yours",Kygo,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
15,"Taste (feat. Offset)",Tyga,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Lucid Dreams","Juice WRLD",https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
17,"Issues/Hold On","Teyana Taylor",https://open.spotify.com/track/0bxmVPKnEopTyuMMkaTvUb
18,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
19,BOSS,"The Carters",https://open.spotify.com/track/4F8V44j8cbjHnXjfW2HruU
20,"Cielito Lindo","Carlos Rivera",https://open.spotify.com/track/5AsFlY8KFYMDTlQkOdBl39
21,GHOST,"Jaden Smith",https://open.spotify.com/track/0aWMostcnfyjuCEcO7sTz5
22,"Bed (feat. Ariana Grande)","Nicki Minaj",https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
23,"Caught Me a Rhythm",Viceroy,https://open.spotify.com/track/2J9wvPoaUMb9H7lmTgrZ3P
24,FRIENDS,"The Carters",https://open.spotify.com/track/0gu5B9dUOiLezdDjrLPCCV
25,"Jackie Chan",Tiësto,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
26,"Don't Stop",D-Sol,https://open.spotify.com/track/282eOXY1rnj6BWTEBmCdVM
27,"Summer on You",PRETTYMUCH,https://open.spotify.com/track/07ipXN6CNTw34qwSYePKpg
28,"New Light","John Mayer",https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
29,"Boo'd Up","Ella Mai",https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
30,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
31,3Way,"Teyana Taylor",https://open.spotify.com/track/0qWsp7jWCCLJtHWGB6NGBB
32,Legends,"Juice WRLD",https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
33,Drop,G-Eazy,https://open.spotify.com/track/61TklWcG8PbT5hvUTzwLaY
34,NICE,"The Carters",https://open.spotify.com/track/44lusH2vzc4sRAwsooRhPh
35,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",https://open.spotify.com/track/4uX8Wh4wxpLne11BhoHs5x
36,Sober,"Demi Lovato",https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
37,"Green Gucci Suit","Rick Ross",https://open.spotify.com/track/5UoyJTgMKccFYaqVArGSRz
38,Switch,6LACK,https://open.spotify.com/track/6g1lGlApRBJD8pPNmMgQ9Z
39,"Just For A Moment (feat. Iselin)",Gryffin,https://open.spotify.com/track/4JAX1qhCBGkO1IM9woosbZ
40,Rise,"Jonas Blue",https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
41,LOVEHAPPY,"The Carters",https://open.spotify.com/track/7szhY56rkD20Ai9AxJaicE
42,"Never Would Have Made It","Teyana Taylor",https://open.spotify.com/track/6gDJbgtCENoIouUjInc0I3
43,Body,"Loud Luxury",https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
44,"Big God","Florence + The Machine",https://open.spotify.com/track/1NcXkWB3UwXfMt8izByICb
45,"Come On To Me","Paul McCartney",https://open.spotify.com/track/1EiSEUs3FuRZDBU23MuUN3
46,"Let Me Down Slowly","Alec Benjamin",https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
47,Simple,"Florida Georgia Line",https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
48,"Te Boté - Remix","Nio Garcia",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
49,"I'm a Mess","Bebe Rexha",https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
50,"I Like It - Dillon Francis Remix","Cardi B",https://open.spotify.com/track/6WK7h2WfMmnX7zOZnfzoYo
