Position,"Track Name",Artist,URL
1,Zombie,"Bad Wolves",https://open.spotify.com/track/1vNoA9F5ASnlBISFekDmg3
2,"My Life",ZHU,https://open.spotify.com/track/2NDZ6i6UfOUSKgFiTQKbnv
3,1950,"King Princess",https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
4,"Brxnks Truck (feat. Rae Sremmurd)","Slim Jxmmi",https://open.spotify.com/track/263le58t0LrdRlCZDcGQXd
5,"Hurt To Look (feat. Rae Sremmurd)","Swae Lee",https://open.spotify.com/track/07VJGBnywGutMZ72kRyEop
6,X,"Nicky Jam",https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
7,SAD!,XXXTENTACION,https://open.spotify.com/track/35ieKju5aLWFN5UgfJ27mL
8,"Me Niego",Reik,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
9,"EVERY SINGLE DAY","FELIX SANDMAN",https://open.spotify.com/track/5Ly489ABFjUgUQDXd1W2c5
10,Azul,Zoé,https://open.spotify.com/track/1HM9uVbB4DVQh0QlwY7W6v
11,"Psycho (feat. Ty Dolla $ign)","Post Malone",https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
12,Everyday,Logic,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
13,"Stranger Things","Joyner Lucas",https://open.spotify.com/track/34I0nBvoE0ZXmqbKiJ5BWS
14,Mine,Bazzi,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
15,"Daydream (백일몽)",j-hope,https://open.spotify.com/track/4YAgH8s0JFfwikTNwe0aIk
16,"Powerglide (feat. Juicy J)","Rae Sremmurd",https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
17,"Look Alive (feat. Drake)","BlocBoy JB",https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
18,Amorfoda,"Bad Bunny",https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
19,Everyday,Mendez,https://open.spotify.com/track/2zJJro5CPAVwwzLQQdcBbu
20,Fuldans,Rolandz,https://open.spotify.com/track/3awvm252RhYY8UJtM9svjY
21,FRIENDS,Marshmello,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
22,"Love Lies (with Normani)",Khalid,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
23,"Top Off","DJ Khaled",https://open.spotify.com/track/1W6wxOOYyJyyok8fqYSZ3m
24,"Make Me Feel","Janelle Monáe",https://open.spotify.com/track/79GsUxLyzxgnN4I1E11dtO
25,"Scooby Do Papa","LA TROPA ESTRELLA",https://open.spotify.com/track/7z40c1h4BcXMSEL4M3oikq
26,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
27,Mundo,"IV Of Spades",https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
28,"My Turn","John Lundvik",https://open.spotify.com/track/5faSzPLmJYUOnk17yFRlIe
29,"Who You Say I Am - Live","Hillsong Worship",https://open.spotify.com/track/6nkJ6jerrO6S4V0kdc4KRp
30,"Dance You Off","Benjamin Ingrosso",https://open.spotify.com/track/0s3P5PImfDZYWIseR3b39D
31,Dura,"Daddy Yankee",https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
32,"Too Good to Be True","Danny Avila",https://open.spotify.com/track/1iJHitxTcTARB8P387PcZL
33,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
34,Magic,"Rudy Mancuso",https://open.spotify.com/track/2DvgLLX2ByteZyFz8ByGX4
35,"Mystery of Love","Sufjan Stevens",https://open.spotify.com/track/5GbVzc6Ex5LYlLJqzRQhuy
36,changes,XXXTENTACION,https://open.spotify.com/track/4PANCoXZX3RaT2D6mqSdEU
37,"Love Me Right","Amber Mark",https://open.spotify.com/track/7LaMuXjc7RsSmfELSU5TXV
38,"44 More",Logic,https://open.spotify.com/track/3e7Y6sfFlIdBMJhX7wpqVO
39,"Plug Walk","Rich The Kid",https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl
40,"God's Plan",Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
41,"My Enemy",CHVRCHES,https://open.spotify.com/track/1pQ7Z3oMyJXnHydstuxL7F
42,"I Was Jack (You Were Diane)","Jake Owen",https://open.spotify.com/track/52K3RIVDetSuZPzcTmIVoY
43,"Popotão Grandão","Mc Neguinho do ITR",https://open.spotify.com/track/75E2xyRjYAsmjfDeAwdW0D
44,"항상 (HANGSANG)",j-hope,https://open.spotify.com/track/4mYu3kfBCW6qiTDnfVeuMx
45,"Pieces (feat. 50 Cent)","Tory Lanez",https://open.spotify.com/track/4fdXiz0uJKg3HUOVj1p6iL
46,"It Runs Through Me","Tom Misch",https://open.spotify.com/track/0p92TJPcRHCbcSk3wCwWBz
47,"Put Me Back Together (feat. Kiiara)","Cheat Codes",https://open.spotify.com/track/2zLIP4R6Yt3afkyh7uhmar
48,"Worry No More (feat. Lil Yachty & Santigold)",Diplo,https://open.spotify.com/track/6GW4n7EdAV9w8YpAgtJnuc
49,Airplane,j-hope,https://open.spotify.com/track/6gALSAMuXm5du6TuKGj6o7
50,"Last Breath",LIAMOO,https://open.spotify.com/track/4hCuE7sLvPBRHXFQar1dgm
